title,link,summary,category
Watch My Chemical Romance Play 'Bury Me in Black' For First Time in 19 Years,https://www.rollingstone.com/music/music-news/my-chemical-romance-bury-me-in-black-live-1234579005/,"Band also performed ""This Is the Best Day Ever"" for the first time since 2005",Emo Throwback
"The Weeknd, Lily-Rose Depp Are Ready to Party in New Trailer for HBO Series ‘The Idol’",https://www.rollingstone.com/music/music-news/the-idol-hbo-trailer-2-1234578997/,Raucous new clip also introduces Moses Sumney into the cast,TV Trailers
Nicki Minaj Defends Britney Spears Against Her 'Coward' Ex Kevin Federline,https://www.rollingstone.com/music/music-news/nicki-minaj-britney-spears-kevin-federline-1234578772/,"""How dare you. How dare you encourage this woman’s children to be a part of your nonsense?""",Got Her Back
Dr. Dre Details Brain Aneurysm Scare: 'They Thought I Was Outta Here',https://www.rollingstone.com/music/music-news/dr-dre-brain-aneurysm-scare-1234578742/,"“Because of what was going on in my brain, they had to wake me up every hour on the hour for two weeks.""",Near-Death Experiences
Diddy Slams Triller in Wake of Verzuz Lawsuit,https://www.rollingstone.com/music/music-news/diddy-slams-triller-verzuz-lawsuit-jermaine-dupri-1234578705/,"""We’re not fuckin’ with Triller until they take care of Tim and Swizz for Verzuz,"" rapper-mogul says","Acts One, Verz Sue"
R. Kelly Jury Shown Graphic Video Clips of Star Allegedly Sexually Abusing Minor,https://www.rollingstone.com/music/music-news/r-kelly-jury-graphic-videos-chicago-federal-child-pornography-trial-1234578642/,"Victim known as ""Jane"" was heard repeatedly apologizing to disgraced singer in audio from the footage in court",R. Kelly Trial
Lindsey Buckingham Will Return to the Road This Fall,https://www.rollingstone.com/music/music-news/lindsey-buckingham-announces-2022-fall-tour-1234578410/,Former Fleetwood Mac member released his self-titled solo album last year,Hitting the Road
John Mayer 'Born & Raised' Livestream Concert: How to Watch the Benefit Show Online,https://www.rollingstone.com/music/music-news/john-mayer-born-and-raised-livestream-concert-how-to-watch-show-online-1234577802/,The singer will play an acoustic set of his 2012 album to raise money for local area flood relief in Montana,STREAMING GUIDE
Lorde Finally Leaves the Beach in New 'Oceanic Feeling' Video,https://www.rollingstone.com/music/music-news/lorde-oceanic-feeling-music-video-1234578295/,The singer-songwriter hops on a boat and rows away from the shore in the new visual for theSolar Powercloser,Ella's Endless Summer
Deleted Ice Scene in 'Almost Famous' Inspired a New Duet for the Broadway Musical,https://www.rollingstone.com/music/music-news/almost-famous-ice-cube-scene-broadway-musical-duet-1234577982/,"Penny Lane and Russell Hammond's late-night dialogue now appears in the adaptation's latest single, ""The Night-Time Sky's Got Nothing on You""",It's All Happening
Panic! at the Disco's Brendon Urie Engages in a Medieval Dance Battle in 'Sad Clown' Video,https://www.rollingstone.com/music/music-news/panic-at-the-disco-drop-sad-clown-1234578097/,"Clip accompanies the release of the group's seventh album,Viva Las Vengeance",Powdered Wigs Galore
Eddie Vedder Celebrates Joe Strummer's 70th With 'Long Shadow' Cover,https://www.rollingstone.com/music/music-news/eddie-vedder-joe-strummers-long-shadow-cover-1234578060/,"Also, hear a previously unreleased Mescaleros song, ""Fantastic,"" which was one of the last Strummer recorded before his death in 2002",Joe Strummer at 70
Fat Joe is Prepping a One-Man Stand-Up Show to Accompany His New Memoir,https://www.rollingstone.com/music/music-news/fat-joe-standup-show-nyc-1234578089/,Live performance will feature an introduction from Dave Chappelle,All the Way (Stand) Up
"Harry Styles Got a Vintage One Direction Toothbrush, Fleetwood Mac 8-Track Out of His Nardwuar Interview",https://www.rollingstone.com/music/music-news/harry-styles-nardwuar-at-coachella-1234577966/,"The self-proclaimed ""Human Serviette"" also gifted the singer an Elvis Presley seven-inch and a slightly creepy action figure",Doot Doola Doot Do
"MTV Puts Hip-Hop in the Lead With LL Cool J, Nicki Minaj, Jack Harlow as 2022 VMAs MCs",https://www.rollingstone.com/music/music-news/ll-cool-j-nicki-minaj-jack-harlow-2022-vmas-hosts-1234577260/,Red Hot Chili Peppers will return to the show for the first time in over 20 years to perform and receive the Global Icon Award,Awards Shows
PJ Harvey Offers Lush Cover of Leonard Cohen’s 'Who by Fire',https://www.rollingstone.com/music/music-news/pj-harvey-leonard-cohen-who-by-fire-1234577958/,Song was recorded with composer Tim Phillips for Apple TV+ seriesBad Sisters,Classic Covers
