title,link,summary,category
"Kinky Friedman, Proudly Eccentric Texas Singer-Songwriter, Dead at 79",https://www.rollingstone.com/music/music-news/kinky-friedman-dead-1235047577/,"Known for songs like ""Sold American,"" the cigar-chomping character and buddy of Willie Nelson won acclaim as a journalist and novelist and once ran for Texas governor",OBITUARY
Chrissie Hynde Praises Taylor Swift: 'Shows You What a Girl With a Guitar Can Do',https://www.rollingstone.com/music/music-news/pretenders-chrissie-hynde-taylor-swift-1235047541/,The Pretenders frontwoman recently caught the Eras Tour and loved it,Lovers of Today
Rising Pop Star Rhea Raj Dances Through a Moody Sci-Fi World in Flirtatious Video for 'Hush',https://www.rollingstone.com/music/music-news/rhea-raj-drops-hush-video-album-hunter-1235046974/,Raj channels early 2000s influences and her Indian roots across the electro-pop song,Exclusive
"Grace Bowers, Nashville's Red-Hot Guitar Player, Announces Debut Album 'Wine on Venus'",https://www.rollingstone.com/music/music-news/grace-bowers-debut-album-wine-on-venus-1235047540/,"The title track to the album, recorded with her band the Hodge Podge, is out now",Rock Prodigy
Megan Thee Stallion Re-Records 'Otaku Hot Girl' Over Last-Minute Complication With Anime Sample,https://www.rollingstone.com/music/music-news/megan-thee-stallion-rerecords-boa-anime-sampling-song-1235047459/,"The song will appear on the rapper's upcoming studio albumMegan, out Friday, with a hard-to-clear sample from an undisclosed anime series",Worth the Wait
Killer Mike Will Not Face Charges Over Grammy Arrest,https://www.rollingstone.com/music/music-news/killer-mike-no-charges-grammy-arrest-1235047439/,"L.A. City Attorney's Office won't pursue the matter after the rapper completed ""a community service requirement that was imposed""",case closed
"Childish Gambino Sets July 2 Release for Single 'Lithonia,' Calls Rap Beef 'Fun'",https://www.rollingstone.com/music/music-news/childish-gambino-lithonia-single-instagram-live-1235047396/,"The rapper took to Instagram Live to clarify his upcoming project, referencing the feud between Drake and Kendrick Lamar in the process",Listen Up
Watch Beck's Orchestral Performance of 'Paper Tiger' on 'Kimmel,https://www.rollingstone.com/music/music-news/beck-paper-tiger-kimmel-1235047391/,"The song, off 2002 LPSea Change, previews the musician's upcoming tour",Looking Back
Ariana Grande Shares Sweet Childhood Video to Celebrate 31st Birthday,https://www.rollingstone.com/music/music-news/ariana-grande-throwback-video-celebrates-birthday-1235047364/,Wickedco-star Cynthia Erivo and Reese Witherspoon also took to Instagram to wish the singer happy birthday,A Star Was Born
Tupac Murder Suspect Denied Release Over Concern Bail Money Not 'Legitimate',https://www.rollingstone.com/music/music-news/tupac-shakur-murder-keffe-d-bail-1235046606/,"Duane ""Keffe D"" Davis testified Tuesday that the money was legally obtained and he was lying to his wife when he told her that it came from a movie producer",Tupac Murder
Neil Young and Crazy Horse Announce 'A Big Unplanned Break' From Tour,https://www.rollingstone.com/music/music-news/neil-young-crazy-horse-announce-unplanned-break-tour-1235047321/,"""A couple of us got sick,"" reads a statement on the Neil Young Archives. ""We will try to play some of the dates we miss as time passes when we are ready to rock again!""",Rust Takes a Nap
"Nick Carter Rape Accuser Blasts His 'Stalling Tactics,' Cites New Allegation",https://www.rollingstone.com/music/music-news/nick-carter-rape-accuser-mellissa-schuman-stalling-1235047108/,Melissa Schuman says in new court filing that another woman contacted her with a sexual assault claim against the Backstreet Boys singer after a documentary about Carter premiered in May,COURTS AND CRIME
Jason Kelce Recalls 'Tearing Up' During '22' Hat Moment at Taylor Swift's Eras Tour,https://www.rollingstone.com/music/music-news/jason-kelce-taylor-swift-eras-tour-favorite-moments-22-1235047288/,"""I’m about to tear up right now. It was fucking so special,"" the retired Philadelphia Eagles center says",Swifties
See John Lennon's Rare Home Movie Footage in 'Aisumasen (I'm Sorry)' Video,https://www.rollingstone.com/music/music-news/john-lennon-aisumasen-im-sorry-ultimate-mix-home-video-1235047252/,"""Ultimate mix"" of song features in upcomingMind Gamesbox set",Real Sanpaku
"Billie Eilish and Coldplay Want to Make Vinyl Greener, But What Does That Even Mean?",https://www.rollingstone.com/music/music-news/billie-eilish-coldplay-vinyl-records-sustainable-1235047168/,"To cut down on the waste and pollution of manufacturing records, both artists embraced methods that stress sustainability and use recycled materials",Green Dreams
Manu Chao Sings One for the Couriers on 'Sao Paulo Motoboy',https://www.rollingstone.com/music/music-news/manu-chao-sao-paulo-motoboy-viva-tu-1235047106/,"Track will appear on artist's first album in 17 years,Viva Tu",Motorhead
SXSW Drops U.S. Army Sponsorship Ahead of 2025 Festival,https://www.rollingstone.com/music/music-news/sxsw-ends-u-s-army-sponsorship-2025-festival-1235047005/,"After 80 artists pulled out of 2024 fest over sponsorship deal, organizers say U.S. Army and ""companies who engage in weapons manufacturing will not be sponsors of SXSW 2025""",cutting ties
Tenacious D Want You to ‘Rock the Vote’ With Them Live,https://www.rollingstone.com/music/music-news/tenacious-d-rock-the-vote-live-shows-1235046981/,Jack Black and Kyle Gass are playing five shows with all proceeds benefiting Rock the Vote organization,Get Out and Vote
Sheryl Crow Slams Drake's 'Hateful' Use of Tupac Shakur AI Verse,https://www.rollingstone.com/music/music-news/sheryl-crow-slams-drake-tupac-shakur-ai-verse-1235046976/,"“You cannot bring people back from the dead and believe that they would stand for that,” singer says in new interview",'slippery slope'
The Who’s Rock Opera 'Tommy' Is Closing on Broadway Again,https://www.rollingstone.com/music/music-news/the-who-tommy-revival-closing-on-broadway-1235046907/,"The revival of the 1969 show opened in March at the Nederlander Theatre and will close on July 21, but has plans to return on a national tour next year",Curtain Call
