title,link,summary,category
World Cup Anthem Singer Myriam Fares Wore Blackface in 2018,https://www.rollingstone.com/music/music-news/world-cup-myriam-fares-blackface-1234634934/,"The Lebanese singer, who joined Nicki Minaj and Maluma on “Tukoh Taka,” darkened her skin significantly in the music video for “Goumi”",'So Disrespectful'
The Rolling Stone Collector’s Edition Box Set With Blackpink Is $50 Off for Black Friday,https://www.rollingstone.com/music/music-news/buy-blackpink-rolling-stone-cover-box-set-online-1353979/,"The special-edition box set includes the group cover, four individual covers, exclusive mini zine, photo prints and sticker sheet with free shipping",BLACKPINK MERCH DEAL
"Pete Davidson Is Out, Dolly Parton Is in as Miley Cyrus‘ New Year’s Eve Party Co-Host",https://www.rollingstone.com/music/music-news/miley-cyrus-dolly-parton-to-host-nbc-new-years-eve-special-1234634773/,"The pair will ring in the new year live from Miami on Saturday, December 31",Here Comes 2023
Taylor Swift Tells Kim Petras She's Done ‘A Lot of Butt-Popping’ to Her Music at AMAs,https://www.rollingstone.com/music/music-news/taylor-swift-kim-petras-amas-1234634596/,Swift celebrated at the show after winning all six awards for which she was nominated,Woo Ah!
"Jack White Quits Twitter, Calls Elon Musk's Trump Reinstatement ‘A--hole Move’",https://www.rollingstone.com/music/music-news/jack-white-quits-twitter-elon-musk-donald-trump-1234634462/,"""This is straight up you trying to help a fascist have a platform so you can eventually get your tax breaks,"" musician wrote",He's Shakin'
Santigold Returns to Roots With Band-Backed ‘Tiny Desk’ Performance,https://www.rollingstone.com/music/music-news/santigold-npr-tiny-desk-performance-watch-1234634442/,Five-song set spanned music from debut LPSantogoldand new cuts fromSpirituals,Tiny Desk Performance
Elton John Says Farewell to North America With Some Help From Dua Lipa and Brandi Carlile,https://www.rollingstone.com/music/music-news/elton-john-dua-lipa-final-north-american-concert-1234634293/,"At his final North American concert, John also brought out Kiki Dee for a rendition of ""Don't Go Breaking My Heart""",Big Goodbye
"Stevie Wonder, Charlie Puth Pay Tribute to Lionel Richie With Hits-Filled Medley at 2022 AMAs",https://www.rollingstone.com/music/music-news/stevie-wonder-charlie-puth-lionel-richie-tribute-2022-amas-1234633829/,"Richie's award was presented by the first AMAs host Smokey Robinson, who called the iconic singer his brother",All Night Long
"Taylor Swift Sweeps 2022 AMAs With Six Wins, Thanks Fans for 'My Happiness’",https://www.rollingstone.com/music/music-news/taylor-swift-sweeps-2022-amas-1234634191/,Swift continues her reign as the American Music Awards' most-awarded artist in history as she reached 40 total trophies,!!!!!!!!!!!!!
Elton John's Final U.S. Concert Set for Disney+ Livestream Tonight,https://www.rollingstone.com/music/music-news/elton-john-final-us-concert-disney-livestream-1234590311/,Nov. 20 show at Los Angeles' Dodger Stadium will accompany new documentary about rock legend on streaming service,Farewell Yellow Brick Road
