title,link,summary,category
See Gracie Abrams Explore Sullen New Depths in Bon Iver's 'Beach Baby',https://www.rollingstone.com/music/music-news/gracie-abrams-bon-iver-beach-baby-watch-1234771226/,Singer-songwriter performed the cover during a recent appearance at SiriusXM Hits 1,Bon Vivant?
SZA and Lizzo to Headline 2023 Made in America Festival,https://www.rollingstone.com/music/music-news/made-in-america-lizzo-and-sza-will-headline-2023-festival-1234771271/,"The two-day festival will also feature appearances from Tems, Metro Boomin, Ice Spice, Lola Brooke, and more",Best Lineup Yet
The Turtles' Mark Volman Reveals Lewy Body Dementia Diagnosis,https://www.rollingstone.com/music/music-news/the-turtles-mark-volman-lewy-body-dementia-diagnosis-1234771279/,"""Happy Together"" singer releasing new memoir and going on tour despite disease: ""I’ll go as far as I can""",Health Update
Halsey Joins Columbia Records Following Split From Capitol Records,https://www.rollingstone.com/music/music-news/halsey-signs-with-columbia-records-1234771210/,"""This feels like my debut all over again, in some ways,"" Halsey shared last month, alluding to the music they have on the way",New Beginnings
Don Draper Who? Jon Hamm's Greatest Role Is Now James Kennedy From 'Vanderpump Rules',https://www.rollingstone.com/music/music-news/jon-hamm-john-slattery-recreate-vanderpump-rules-reunion-1234771182/,Hamm and formerMad Menco-star John Slattery recreated the best reunion bits between Kennedy and Tom Sandoval onWatch What Happens Live,Poo-Poo Heads
Guns N' Roses' Duff McKagan Searches for Peace on Gospel-Influenced 'Lighthouse',https://www.rollingstone.com/music/music-news/duff-mckagan-lighthouse-1234771180/,"Bassist and singer-songwriter will release new solo album, also titled 'Lighthouse,' this fall",Shine a Light
Demi Lovato Re-Adopted ‘She/Her’ Pronouns Because Explaining 'They/Them' Was 'Exhausting',https://www.rollingstone.com/music/music-news/demi-lovato-explains-only-using-they-them-pronouns-was-exhausting-1234771153/,"""I constantly had to educate people and explain why I identified with those pronouns,"" the singer, who came out as non-binary in 2021, explained in a recent interview",Part of the Journey
"Riley Keough to Pay Priscilla Presley, Ending Legal Battle Over Family Trust",https://www.rollingstone.com/music/music-news/riley-keough-priscilla-presley-trustee-dispute-lisa-marie-estate-1234771114/,The Daisy Jones & The Six actress will become the sole trustee of Lisa Marie Presley's estate,Settlement
Anita Baker Bumps Babyface From Tour After Drama With His Fans,https://www.rollingstone.com/music/music-news/anita-baker-babyface-off-tour-drama-with-fans-1234770585/,"R&B legend said she'll ""continue, The Songstress Tour, alone"" after a not-so-quiet tweet storm over a controversial concert last month",Not-So-Quiet Storm
Kali Uchis Extends 'Red Moon in Venus' Tour With Six New Fall Dates,https://www.rollingstone.com/music/music-news/kali-uchis-new-tour-dates-fall-2023-red-moon-venus-1234770498/,Singer will bring along Dominican rap star Tokischa on the road,Red Moon Pt. 2
