title,link,summary,category
Santigold Announces New Shows After Canceling Entire Tour in 2022,https://www.rollingstone.com/music/music-news/santigold-2024-tour-dates-1234997891/,Singer will also perform at Seattle Pride and Redondo Beach's Beachlife Festival,Touring Again
Taylor Swift ‘Channel 13 (Taylor’s Version)’ Is Coming to SiriusXM,https://www.rollingstone.com/music/music-news/taylor-swift-channel-13-taylors-version-sirius-xm-1234997894/,The channel dedicated to the singer broadcasts from April 7 to May 6,All Swift
Kanye West Wanted to ‘Cage’ Donda Students and Threatened to Punch Staffer: Lawsuit,https://www.rollingstone.com/music/music-news/kanye-west-lawsuit-donda-school-1234997814/,"Trevor Phillips filed suit against the rapper, who now goes by Ye, on Tuesday in Los Angeles, joining a number of former employees who are suing the 46-year-old",COURTS AND CRIME
Green Day Switches Up 'Basket Case' With Original Demo Lyrics at iHeartRadio Music Awards,https://www.rollingstone.com/music/music-news/green-day-basket-case-iheartradio-music-awards-1234997810/,"The Landmark Award recipients opened their set withSaviorstrack ""Bobby Sox"" before performing a ""Basket Case"" with an alternate second verse",From the Archives
Hear Bob Dylan Cover Hank Williams' 'On the Banks of the Old Pontchartrain' for the First Time,https://www.rollingstone.com/music/music-news/bob-dylan-hank-williams-on-the-banks-of-the-old-pontchartrain-1234997758/,"He broke out the 1947 classic in New Orleans, just a few miles from the banks of Lake Pontchartrain",Dylan Digs Deep
Cedric Burnside Expresses His ‘Hill Country Love’,https://www.rollingstone.com/music/music-news/cedric-burnside-expresses-his-hill-country-love-1234956825/,"On his third solo album, the grandson of blues legend R.L. Burnside carries the Mississippi Hill Country blues forward",
2024 Webby Awards: Taylor Swift and Travis Kelce Both Earn Nominations in the Same Category,https://www.rollingstone.com/music/music-news/2024-webby-awards-nominations-1234997673/,The annual ceremony celebrating excellence on the internet will be hosted by Amber Ruffin on May 13,The Nominees Are...
Orville Peck Announces Expansive Stampede Tour Ahead of Willie Nelson Collab,https://www.rollingstone.com/music/music-news/orville-peck-stampede-tour-willie-nelson-collab-1234997614/,"""As an artist who has sometimes felt excluded from the Country music industry, once Willie Nelson wants to work with you, there’s really nothing the country world can say after that""",Exclusive
Beyoncé Tips Her Hat to Innovators Who Defied 'Any Label Placed Upon Them',https://www.rollingstone.com/music/music-news/beyonce-2024-iheartradio-music-awards-innovator-award-1234997612/,"When accepting the the Innovator Award at the iHeartRadio Music Awards, the star thanked Rosetta Tharpe, Tracy Chapman, Linda Martell, Prince, and more",2024 iHeartRadio Awards
"Eminem's Chaotic 'Infinite 2' April Fools' Day Trailer Teases New Album That Might Exist, But Isn't Out",https://www.rollingstone.com/music/music-news/eminem-infinite-2-album-april-fools-1234997449/,Fans rushed to streaming services following the announcement of the record's surprise release only to be disappointed when nothing was actually there,Check the Date
Bruce Springsteen Jokes About His Postponed Tour on 'Curb Your Enthusiasm',https://www.rollingstone.com/music/music-news/bruce-springsteen-jokes-about-postponed-tour-curb-your-enthusiasm-1234997365/,Springsteen joined Larry David on the latest episode of the beloved HBO show,Boss Got Jokes
Pharrell Accused of 'Fraudulently' Filing for Neptunes Trademarks Without Chad Hugo,https://www.rollingstone.com/music/music-news/pharrell-williams-chad-hugo-legal-fight-neptunes-trademark-1234997394/,"Hugo took legal action against his longtime friend and production partner, saying he was not consulted about the applications",Legal Grindin'
Steve Vai and Tool's Danny Carey Unite With King Crimson Musicians for 'BEAT' Tour,https://www.rollingstone.com/music/music-news/steve-vai-tool-danny-carey-king-crimson-beat-tour-1234996077/,They'll be joined by guitarist/singer Adrian Belew and bassist Tony Levin for a show celebrating King Crimson's Eighties catalog,Crimson Kings Return
Linkin Park Settle Lawsuit With Former Bassist Over Unpaid Royalties,https://www.rollingstone.com/music/music-news/linkin-park-settles-lawsuit-former-bassist-unpaid-royalties-1234997319/,"Group said it reached an ""amicable resolution"" with Kyle Christner after asking the court to dismiss the lawsuit last month",Hybrid Theory Issue
"Future, Metro Boomin and Kendrick Lamar's Drake Diss Is the Number One Song in the Country",https://www.rollingstone.com/music/music-news/future-metro-boomin-kendrick-lamar-like-that-number-one-hot-100-1234996590/,"""Fuck the big three, it's just big me,"" Lamar penned, setting Rap Twitter aflame last week",The Charts
Tomorrow X Together Overcome Fears and Find Eternal Connection in 'Deja Vu' Video,https://www.rollingstone.com/music/music-news/tomorrow-x-together-minisode-3-tomorrow-deja-vu-video-1234997291/,The single appears on the newly-released mini-albumMinisode 3: Tomorrow,Moving Forward
"Casey Benjamin, Ace Multi-Instrumentalist for Robert Glasper, A Tribe Called Quest, Dead at 45",https://www.rollingstone.com/music/music-news/casey-benjamin-saxophone-keys-player-robert-glasper-dead-1234997166/,"The musician, best known for his work on saxophone and keys, also played with Beyoncé, John Legend, Lady Gaga, and more",Obituary
Global Citizen Festival Will Return to Central Park Great Lawn,https://www.rollingstone.com/music/music-news/global-citizen-festival-2024-date-1234997206/,"The music event will be held on September 28, with performers set to be announced in the coming months",Great Lawn
King Crimson's Robert Fripp Nearly Shows His Whole Prog Rock in OnlyFans Teaser,https://www.rollingstone.com/music/music-news/king-crimson-robert-fripp-onlyfans-april-fools-day-1234997213/,"The guitarist shared a sultry and goofy video for his new ""side hustle"" for April Fools' Day",🍆🎸
The Black Keys Unveil 2024 'International Players' Tour Dates,https://www.rollingstone.com/music/music-news/the-black-keys-2024-international-players-tour-1234997141/,"The run of shows, in support of the band's upcoming albumOhio Players, will feature The Head And The Heart on select dates",Ohio Players
Billie Eilish Says Criticizing 'Wasteful' Vinyl Sustainability Practices 'Wasn't Singling Anyone Out',https://www.rollingstone.com/music/music-news/billie-eilish-artist-sustainability-practices-1234997127/,The musician issued a statement over the weekend responding to claims that her criticism of artists pressing multiple vinyl variants to boost numbers was directed at Taylor Swift,Not the Point
Beyoncé Fans Are Not Happy That Some 'Cowboy Carter' Songs Were Cut From CD and Vinyl,https://www.rollingstone.com/music/music-news/beyonce-fans-upset-cowboy-carter-songs-missing-cd-vinyl-1234997062/,"""Ya Ya,"" ""Spaghettii,"" and Linda Martell all missing from physical copies of singer's latest LP",no 'ya ya'
"'SNL': Watch Travis Scott Perform 'My Eyes,' 'Fe!n'",https://www.rollingstone.com/music/music-news/snl-watch-travis-scott-perform-my-eyes-fein-1234996970/,Rapper also appears in Please Don't Destroy sketch in second stint asSNLmusical guest,Utopia
"Travis Scott, Playboi Carti Spin Through New ‘Fe!n’ Video",https://www.rollingstone.com/music/music-news/travis-scott-playboi-carti-new-fein-video-1234996986/,"Rapper is set to perform as the musical guest onSaturday Night Livetonight, March 30",Pre-'SNL' drop
Hot Boys Rapper B.G. Arrested for Probation Violations After Boosie Concert Appearance,https://www.rollingstone.com/music/music-news/bg-arrest-probation-violation-boosie-gucci-mane-1234996933/,B.G.'s collaborative album with Gucci Mane also cited as potential violation that could lead to rapper's re-incarceration,Crimes and Court
Lzzy Hale on Skid Row Gigs: 'There Will Be Blood Left on the Stage!',https://www.rollingstone.com/music/music-news/lzzy-hale-skid-row-gigs-statement-1234996915/,"""I can say without a second thought that if it weren’t for Skid Row in my bones, I would not be the rocker I am today,"" singer writes of joining glam metal band for four shows",'Totally Wild!'
Lizzo Says She's Tired of 'Being Dragged' by Everyone: 'I Quit',https://www.rollingstone.com/music/music-news/lizzo-i-quit-statement-1234996835/,"The ""About Damn Time"" singer was accused of sexual harassment and a toxic workplace in a lawsuit filed by former backup dancers last year",✌️
