title,link,summary,category
Suga's Solo Tour Tickets Are Selling Out Fast — Here's How You Can Still See the BTS Member's Concert,https://www.rollingstone.com/music/music-news/buy-suga-agust-d-tour-tickets-online-1234692236/,"The first BTS member to hit the road solo, here's where you can still buy tickets to Suga's sold-out Agust D world tour online",SUGA GOES SOLO
"Kid Cudi, 21 Savage Top 2023 Hard Festival Lineup",https://www.rollingstone.com/music/music-news/hard-festival-2023-lineup-kid-cudi-21-savage-skrillex-1234692028/,"L.A. fest will also feature Skrillex back-to-back with Four Tet, Dillon Francis, Ludacris, Fat Joe, and more",Go Hard
"Jason Isbell, Allison Russell, Sheryl Crow to Perform for LGBTQ+ Rights at Tennessee Concert",https://www.rollingstone.com/music/music-news/tennessee-lgbtq-laws-drag-ban-benefit-concert-jason-isbell-sheryl-crow-1234692045/,"Paramore's Hayley Williams, Brothers Osborne, Hozier and more are on the bill at ""Love Rising Tennessee,"" which takes place amid a flurry of anti-LGBTQ+ laws being enacted in the state",Human Rights
"Foo Fighters, Kendrick Lamar Lead Outside Lands Lineup",https://www.rollingstone.com/music/music-news/foo-fighters-kendrick-lamar-outside-lands-headliners-lineup-1234692054/,"Odesza, Lana Del Rey, the 1975, and Megan Thee Stallion among the artists set for San Francisco fest",Outside Lands Lineup
Dave Grohl Put in 18 Hours on the Grill – Again – to Feed Underserved Communities in L.A.,https://www.rollingstone.com/music/music-news/dave-grohl-feed-the-streets-homeless-watch-1234692003/,"Last week, the Foo Fighters leader fed more than 500 people at a homeless shelter in Los Angeles",Giving Back
"The 'Elvis' Soundtrack Deluxe Edition Has More Austin Butler Voice, a Deranged Backstreet Boys Mashup",https://www.rollingstone.com/music/music-news/elvis-soundtrack-austin-butler-backstreet-boys-1234691973/,"The 52-song set features Butler's takes on several Presley classics and a wild remix of ""Backstreet's Back"" with ""Bossa Nova Baby""",Even More Elvis
"Red Hot Chili Peppers, John Mayer, Alanis Morissette to Headline 'Sound on Sound' Festival",https://www.rollingstone.com/music/music-news/red-hot-chili-peppers-john-mayer-alanis-morissette-headline-sound-on-sound-festival-1234691955/,"Hozier, Mt. Joy, Lord HUron, Joy Oladokun, Margo Price, Cautious Clay, and more will also perform",Festival Season
Angel Olsen Returns With New Single 'Nothing's Free' From Upcoming EP,https://www.rollingstone.com/music/music-news/angel-olsen-new-single-nothings-free-forever-means-ep-1234691156/,"Forever Means, out April 14, features four tracks culled from the sessions of the singer's acclaimed 2022 LPBig Time",Bigger Time
"Taylor Swift, Pink Receiving Special Honors at 2023 iHeartRadio Awards",https://www.rollingstone.com/music/music-news/taylor-swift-pink-special-honors-2023-iheartradio-awards-1234691852/,"Pink will also perform at this year's show, along with Coldplay, Kelly Clarkson, and more",iHeart Awards
Chance the Rapper Brings Enthusiastic 'Yah Know' Performance to 'Fallon',https://www.rollingstone.com/music/music-news/chance-the-rapper-performs-yah-know-the-tonight-show-1234691825/,The song will appear on rapper's forthcoming projectStar Line Gallery,The Tonight Show
Miley Cyrus Bringing Day and Night Energy to 'Endless Summer Vacation',https://www.rollingstone.com/music/music-news/miley-cyrus-endless-summer-vacation-two-parts-am-pm-1234691644/,"The pop star explained that her new album is split into two parts, ""a.m."" and ""p.m.""",Dusk and Dawn
Loved Ones Mourn GloRilla Concert Stampede Victims: 'You Did Not Deserve This',https://www.rollingstone.com/music/music-news/glorilla-concert-victim-rhondesia-belton-tribute-remembrance-1234691590/,"Three women – Rhondesia Belton, Aisha Haskins, and Brandy Miller – died following a crowd surge at GloRilla's Rochester, New York concert on Sunday",Remembrance
Jin Gives ARMY an Army Update in New Photo With BTS Bandmates J-Hope and Jimin,https://www.rollingstone.com/music/music-news/bts-photo-j-hope-jimin-military-service-1234691595/,"Jin is the first member to fulfill his mandatory service requirements, while J-Hope will enlist next",Picture Perfect
Black Thought and El Michels Affair Embrace the 'Glorious Game' on New Song,https://www.rollingstone.com/music/music-news/black-thought-el-michels-affair-title-track-glorious-game-1234691537/,"Track, featuring guest vocals from Kirby, will appear on the pair's collaborative album of the same name",Let the Game Begin
"Lionel Richie Plots North American Tour With Earth, Wind & Fire",https://www.rollingstone.com/music/music-news/lionel-richie-earth-wind-and-fire-tour-dates-2023-1234691442/,"The ""Sing a Song All Night Long"" 20-date arena trek kicks off in August",Sing a Song
Hip-Hop at 50: Libraries Nationwide Plot Events to Celebrate Genre's History and Influence,https://www.rollingstone.com/music/music-news/hip-hop-at-50-libraries-special-events-anniversary-1234691386/,"The initiative, spearheaded by the Queens Public Library in NYC, kicked off last month and will continue through August",And You Don't Stop
"Jenny Lewis, Her Puppy, and Her Truck Will Hit the Road This Summer",https://www.rollingstone.com/music/music-news/jenny-lewis-summer-tour-1234691346/,The singer-songwriter also dropped a video for her 2021 yacht rock frenzy,Wasted Youth
Latin American Music Awards Returning to Las Vegas for 2023 Ceremony,https://www.rollingstone.com/music/music-news/2023-latin-american-music-awards-las-vegas-april-1234691369/,The event will be held on April 20,Latin AMAs
Billy Gibbons Remembers Lynyrd Skynyrd's Gary Rossington: 'He Was the Last of the Breed',https://www.rollingstone.com/music/music-news/billy-gibbons-lynyrd-skynyrd-gary-rossington-tribute-1234691328/,The ZZ Top frontman was slated to join the Skynyrd guitarist on the road this summer,Tribute
Three Women Dead Following Stampede at GloRilla Concert,https://www.rollingstone.com/music/music-news/glorilla-concert-stampede-death-injuries-1234691325/,"The surge appears to be sparked by unfounded reports of gunfire at the Main Street Armory in Rochester, New York. Seven other people were injured in the melee.",Concert Safety
"Selena Gomez Returns to Social Media, Says Her Heart Has Been 'Heavy' Amid Hailey Bieber Drama",https://www.rollingstone.com/music/music-news/selena-gomez-returns-to-social-media-following-hailey-bieber-drama-1234691293/,"Nearly two weeks ago, Selena Gomez announced she would be taking a break from social media following a brief and indirect back-and-forth with Hailey Bieber",'Be Kinder'
Miley Cyrus Reviving the 'Backyard Sessions' for 'Endless Summer Vacation' Special,https://www.rollingstone.com/music/music-news/miley-cyrus-backyard-sessions-endless-summer-vacation-1234690323/,"Singer-songwriter will play ""The Climb,"" songs off her new album, and collaborate with Rufus Wainwright on new Disney+ special",Backyard's Back
Watch Smashing Pumpkins Cover Joy Division's 'No Love Lost' With Peter Hook,https://www.rollingstone.com/music/music-news/smashing-pumpkins-joy-division-no-love-lost-peter-hook-1234691163/,"Jack Bates, Hook's son, pulls double-duty as bassist of both the Smashing Pumpkins and Peter Hook & The Light at Mexico City's World Is a Vampire fest",Live Transmission
