title,link,summary,category
"Perry Farrell Taking Time 'To Heal,' Seek Medical Help After Canceled Jane's Addiction Tour, Wife Says",https://www.rollingstone.com/music/music-news/perry-farrell-medical-help-canceled-janes-addiction-tour-wife-1235108828/,"""Perry already has appointments with a otolaryngologist and a neurologist,"" Etty Liu Farrell says on social media a week after singer's onstage outburst resulted in band canceling reunion tour",'we apologize'
"Janet Jackson Questions Whether Kamala Harris Is Black, Thinks Election May Bring ‘Mayhem’",https://www.rollingstone.com/music/music-news/janet-jackson-kamala-harris-black-election-mayhem-1235108774/,"In an interview withThe Guardian, pop star appears to parrot misinformation Trump and others have spread",Oof
"Questlove Announces Earth, Wind & Fire Documentary on the 21st of September",https://www.rollingstone.com/music/music-news/questlove-earth-wind-and-fire-documentary-september-21st-1235108709/,"""The story of how a band led by a genius from Chicago changed our way of thinking, our minds and our hearts,"" Roots drummer says of band-approved project out next year",do you remember?
"Hayley Williams Slams Donald Trump, Project 2025 at iHeartRadio Fest: 'Do You Want to Live in a Dictatorship?'",https://www.rollingstone.com/music/music-news/hayley-williams-donald-trump-project-2025-iheartmusic-fest-1235108690/,"""It is time for all Americans to band together and finally defeat the Trump agenda,"" Paramore singer says, ""And the only way to do that is by confronting him at the polls""",'show up and vote'
Eagles Dedicate 'Heartache Tonight' to J.D. Souther at First Sphere Show,https://www.rollingstone.com/music/music-news/eagles-heartache-tonight-j-d-souther-tribute-sphere-1235108664/,"""J.D. is someone you may know played a pivotal role in the Eagles,"" Don Henley tells crowd. ""He wasn’t in the band but he certainly co-wrote some of our biggest hits.""",tribute
"Kate Nash Announces New Tour With Shamir, Revenge Wife, and More",https://www.rollingstone.com/music/music-news/kate-nash-north-american-tour-shamir-revenge-wife-1235108642/,Joh Chase and Skating Polly will also join the artist on her first North American tour since 2018,9 Sad Symphonies
T.I. and Tiny's $25 Million OMG Girlz Trial Ends With Closing Arguments: 'It's Insulting',https://www.rollingstone.com/music/music-news/ti-tiny-omg-girlz-lol-dolls-infringement-lawsuit-closing-arguments-1235107899/,"The third trial over claims MGA Entertainment infringed on the name, identity, and likeness on the OMG Girlz is now in the hands of a jury",COURT BATTLE
Tekashi 6ix9ine Sued Over Revenge Porn Allegations by Ex-Girlfriend,https://www.rollingstone.com/music/music-news/tekashi-6ix9ine-sued-revenge-porn-ex-girlfriend-1235108424/,"The controversial rapper's ex-girlfriend sued him this week, also claiming that he physically and emotionally abused her throughout their year-long relationship",'Atrocious Conduct'
Charli XCX Celebrates Sold Out UK Tour With 2008 Throwback: 'Good Things Take Time',https://www.rollingstone.com/music/music-news/charli-xcx-celebrates-sold-out-uk-tour-2008-throwback-1235108393/,"Charli shared a vintage shot of herself in multiple tutus and a wig, years before herBratsummer took over the world",Brat Throwback
Hear Rahim Redcar (Formerly Christine and the Queens) Go Disco on 'Deep Hole',https://www.rollingstone.com/music/music-news/rahim-redcar-christine-and-the-queens-deep-hole-hopecore-1235108030/,Song arrives ahead ofHopecorealbum,Hopecore
