artist,popularity,followers,genres,number_of_articles,positive_articles,negative_articles,average_sentiment_score
def leppard,71,5226611,"album rock,classic rock,glam metal,hard rock,nwobhm,rock",6,4,1,0.1786255411255411
brianna chickenfry,2,319,,2,1,1,-0.03354978354978355
lukas nelson,53,44598,,5,5,0,0.2650649350649351
fantasia,59,2134780,"contemporary r&b,hip pop,r&b,urban contemporary",2,0,0,0.0
nicky jam,82,19240521,"latin hip hop,reggaeton,trap latino,urbano latino",1,1,0,0.09999999999999998
judee sill,36,56375,singer-songwriter,1,1,0,0.06818181818181818
miles davis,65,2611790,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul,vocal jazz",4,3,1,0.3083333333333333
bobby brown,58,1199506,"contemporary r&b,new jack swing,r&b,urban contemporary",1,1,0,0.8863636363636364
umi,63,1041000,"alternative r&b,bedroom soul",1,1,0,0.4375
kecalf franklin,0,0,,1,1,0,0.575
eddie vedder,63,1638523,"acoustic rock,grunge,permanent wave",17,8,4,0.08917112299465241
marilyn manson,73,4589937,"alternative metal,hard rock,industrial,industrial metal,industrial rock,nu metal,post-grunge,rock",9,6,3,0.14271885521885522
michelle williams,61,20154,hollywood,1,0,0,0.0
jay park,67,2161161,"k-pop,k-rap,korean r&b",1,1,0,0.625
ben atkind,12,0,,1,1,0,0.2
rae sremmurd,72,7553552,"melodic rap,mississippi hip hop,pop rap,rap,trap",1,1,0,0.13636363636363635
solo set,0,1,,1,1,0,0.13636363636363635
jimmie allen,54,265249,"black americana,contemporary country,country road,modern country rock",4,3,0,0.3625
ronnie hawkins,28,8860,"canadian blues,canadian rockabilly,swamp rock",2,1,0,0.325
laufey,84,5986996,gen z singer-songwriter,3,0,0,0.0
john squire,40,18529,,2,1,0,0.24318181818181817
dolla,31,19161,atl hip hop,1,0,1,-0.5714285714285714
gang starr,65,994193,"alternative hip hop,conscious hip hop,east coast hip hop,hardcore hip hop,hip hop",1,0,1,-0.2
ethel cain,69,766474,"countrygaze,indie pop,modern dream pop",5,1,1,-0.03272727272727273
andrew wyatt,45,8092,nyc pop,1,1,0,0.13636363636363635
chuck taylors,2,229,,1,1,0,0.06818181818181818
michelle branch,58,667449,"candy pop,dance pop,lilith,neo mellow,pop rock",2,0,2,-0.05694444444444445
shaun ryder,25,8153,"madchester,solo wave",1,1,0,0.65
patrick carney,38,7542,,5,1,3,-0.03374999999999999
iris dement,48,88911,"arkansas country,folk,singer-songwriter",1,1,0,0.13333333333333336
standout,0,32,,1,0,1,-0.3999999999999999
larry stylinson,0,1,,1,0,1,-0.075
justin johnson,39,110763,,1,0,1,-0.2
jennifer lopez,77,13348292,"dance pop,pop,urban contemporary",12,9,1,0.2584299628942486
domino kirke,2,3975,,1,1,0,0.35714285714285715
bill wyman,34,30337,,2,2,0,0.3484848484848485
charlie watts,30,16274,rock drums,3,2,1,0.029166666666666664
sharon stone,37,82,,1,0,1,-0.4333333333333333
sevak amroyan,24,2682,"armenian folk,armenian pop",1,1,0,0.3795454545454545
sam hyde,20,4265,epunk,1,1,0,0.35
bill wants,0,8,,1,1,0,0.396969696969697
dan auerbach,57,364955,"garage rock,modern blues rock",1,0,1,-0.11666666666666665
julieta venegas,77,2678683,"cantautora mexicana,latin alternative,latin pop,latin rock,rock en espanol",1,0,1,-0.030303030303030304
nathan lane,59,15400,movie tunes,1,1,0,0.16666666666666666
ronald isley,54,203445,"contemporary r&b,new jack swing,r&b",1,1,0,0.13636363636363635
blaqstarr,19,4296,bmore,1,1,0,0.06818181818181818
mary lattimore,44,56839,"art pop,electra,experimental ambient,jazz harp,pastoral,spectra",1,1,0,0.06818181818181818
simon raymonde,35,2030,,1,0,1,-0.05
weinberg,0,2,,1,1,0,0.1875
aaron lee tasjan,30,23224,"alternative country,nashville americana,new americana,southern americana",2,1,1,0.3041666666666667
troye sivan,79,8681659,"australian pop,pop,viral pop",13,8,3,0.07785755910755911
charney,0,11,,1,1,0,0.0625
nightclub,4,593,,1,1,0,0.06818181818181818
tom kenny,4,426,,2,1,0,0.15833333333333333
yungblud,70,2461916,"british indie rock,modern rock,pov: indie,rock",2,2,0,0.29642857142857143
leonardo dicaprio,6,1283,,1,1,0,0.75
soundgarden,69,4615825,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,rock",3,2,0,0.12272727272727274
eva longoria,4,162,,3,1,0,0.08333333333333333
larry clinton,27,2917,"big band,british dance band,dixieland,swing,vintage jazz",1,1,0,0.45
normani,70,2825837,"pop,r&b",2,2,0,0.7
rob grant,46,48539,,1,1,0,0.22857142857142856
jane birkin,49,175117,chanson,1,0,1,-0.2
honey dijon,53,128070,garage house,1,1,0,0.9363636363636364
j-hope,73,18130482,"k-pop,k-rap",1,0,1,-0.05
timothée chalamet,55,81186,,1,0,1,-0.017045454545454572
matthew mcconaughey,29,2061,,1,1,0,0.2727272727272727
big stuff,5,890,,1,1,0,0.03636363636363635
james galway,46,27253,classical flute,1,1,0,0.5
fiona apple,67,1611441,"art pop,chamber pop,dark pop,lilith,permanent wave,piano rock,singer-songwriter",1,0,0,0.0
tony soprano,7,189,,1,0,1,-1.0
kairo keyz,61,103230,"london rap,uk melodic rap",1,1,0,0.39166666666666666
beth orton,42,148007,"ectofolk,folktronica,lilith,new wave pop,singer-songwriter",2,1,1,-0.03655303030303031
dj playero,5,244,,2,1,1,-0.39999999999999986
kevin morby,51,301849,"chamber pop,indie rock,kc indie,modern folk rock",1,0,0,0.0
sammy johnson,50,115836,jawaiian,1,1,0,0.2785714285714286
tina turner,71,4353201,soft rock,12,9,1,0.4444560185185185
aerosmith,77,14901846,"album rock,classic rock,hard rock,rock",1,0,1,-0.16666666666666666
luminate,25,23525,"ccm,christian alternative rock,christian music",3,2,0,0.4583333333333333
tom g. warrior,9,102,,1,1,0,0.13636363636363635
albarn,0,18,,2,2,0,0.32272727272727275
cat burns,63,395691,uk pop,1,0,0,0.0
menco,0,4,,1,1,0,1.5681818181818181
mark lanegan,51,269207,"acoustic rock,garage rock,palm desert scene",2,2,0,0.5428571428571428
jack bates,0,0,,1,1,0,0.675
ozzy osbourne,73,5913878,"album rock,alternative metal,birmingham metal,classic rock,glam metal,hard rock,metal,rock",21,10,7,-0.008762626262626258
blueface,66,6808119,"cali rap,rap,trap",3,0,1,-0.027777777777777776
heidi parton,14,124,,1,1,0,0.85
graham nash,45,236557,"country rock,folk,folk rock,singer-songwriter",2,2,0,0.7
sean kingston,73,3444954,"dance pop,miami hip hop,pop",4,3,0,0.1375
ezra furman,46,180741,"alternative pop,transpop",1,1,0,0.26969696969696966
rakim mayers,0,25,,1,1,0,0.175
mark morton,39,55967,modern hard rock,1,0,1,-0.125
caroline polachek,65,569088,"art pop,escape room,indie pop,indietronica",8,6,1,0.3676181457431458
arlo parks,59,629921,"alternative r&b,indie soul,uk contemporary r&b",2,1,0,0.13333333333333333
joe jonas,66,1759584,"pop,post-teen pop",7,5,1,0.1493661100803958
chip tha ripper,48,50626,ohio hip hop,1,1,0,0.24134199134199136
jimin,88,9669393,k-pop,11,8,3,0.18497638724911453
mike myers,18,1563,,1,1,0,0.09666666666666664
judd apatow,0,88,,1,0,0,0.0
summer walker,82,7130133,"r&b,rap",3,3,0,0.5416666666666666
mark zuckerberg,38,1184,,1,1,0,0.47222222222222227
natasha diggs,26,4251,,1,1,0,0.2345117845117845
john travolta,65,156344,hollywood,2,1,1,0.062499999999999986
jason aldean,74,6655236,"contemporary country,country,country road,modern country rock",1,0,1,-0.0625
natalie imbruglia,67,1061764,"dance pop,europop,lilith,new wave pop,pop rock",3,2,1,0.05497835497835497
idris,54,143551,uk tech house,1,0,0,0.0
zack de la rocha,44,84486,"industrial hip hop,political hip hop",1,1,0,0.21212121212121213
lcd soundsystem,62,1157156,"alternative dance,alternative rock,art pop,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,neo-synthpop,new rave",3,2,1,0.5142045454545455
victoria monét,68,1164466,"alternative r&b,r&b",11,8,1,0.3108585858585859
kate winslet,46,10181,,1,0,1,-0.12380952380952381
armin van buuren,76,4448368,"dutch house,dutch trance,edm,pop dance,progressive house,trance",1,1,0,0.15416666666666665
steve aoki,73,3792048,"edm,electro house,pop dance",1,1,0,0.5681818181818181
larkin poe,48,258110,"modern blues,modern blues rock",1,1,0,0.5
hayley kiyoko,58,1657853,"alt z,indie poptimism,pop",4,3,1,0.41840728715728714
outloud,24,5814,"greek metal,melodic hard rock",1,1,0,0.4
jeff beck,56,790326,"album rock,blues,blues rock,british blues,classic rock,electric blues,hard rock,instrumental rock,jazz fusion,progressive rock",8,3,5,0.0008748196248196359
chung ha,60,2200114,k-pop,1,1,0,0.625
pharrell williams,82,4937771,"dance pop,pop",1,0,1,-0.18333333333333335
gary rossington,8,746,,1,1,0,0.5
peter gabriel,64,1814345,"album rock,art rock,classic rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock",4,1,1,0.06337594696969696
wu-tang clan,68,3354421,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",4,1,1,0.084375
missy elliott,72,2572667,"dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop",12,8,3,0.261489898989899
alison mosshart,43,20380,,3,3,0,0.5358766233766233
paramore,80,8959137,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",18,10,4,0.09309964726631392
janet jackson,66,3987439,"dance pop,r&b,urban contemporary",8,6,2,0.16287878787878787
josh freese,4,2442,rock drums,3,3,0,0.2812770562770563
metro boomin,90,9869311,rap,2,1,0,0.2222222222222222
george strait,75,4630995,"contemporary country,country,country road",1,0,0,0.0
jeff ross,8,268,,1,0,1,-0.15000000000000002
virgil abloh,29,20142,modern jungle,4,2,2,0.04097222222222223
donald trump,37,1625,,14,9,4,0.013678880643166358
preemo,5,38,,1,1,0,0.38636363636363635
khaled,61,1602530,"classic arab pop,moroccan pop,rai",3,2,0,0.3892255892255892
phil collins,78,6340015,"rock drums,soft rock",2,1,0,0.25
gary barlow,47,371483,talent show,1,1,0,0.825
joni mitchell,64,1527331,"canadian singer-songwriter,folk,folk rock,singer-songwriter",23,17,2,0.34032169521299954
conan gray,81,10659186,"bedroom pop,pop,pov: indie",4,2,0,0.1185064935064935
gentleman,56,481563,"cologne hip hop,german hip hop,german reggae,reggae fusion",1,1,0,0.175
jack black,53,226086,"comedy rock,comic",8,4,4,0.026641414141414146
magnum,40,72135,hard rock,1,1,0,0.24873737373737373
george harrison,70,2802344,"album rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock",5,1,3,0.01935064935064935
linda ronstadt,62,998869,"country rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock",3,1,1,-0.15505050505050508
bootsy collins,68,410542,"funk,p funk,soul",2,1,1,0.3740462662337662
bites,0,201,,2,1,0,0.55
florence welch,60,44024,uk pop,7,5,1,0.23820346320346317
zane lowe,24,3658,,13,10,3,0.10130050505050504
growing pains,25,5487,"5th wave emo,cascadia shoegaze,eugene indie",1,1,0,0.5
soft cell,66,732438,"new romantic,new wave,new wave pop,synthpop",1,0,1,-0.01666666666666669
david sanborn,44,172414,"jazz funk,jazz saxophone,smooth jazz,smooth saxophone",1,0,1,-0.05
ian,72,374466,,2,2,0,0.4222222222222223
leslie odom jr.,73,291610,"broadway,show tunes,vocal jazz",1,0,0,0.0
benny blanco,79,1260909,pop,3,1,1,-0.18720538720538718
mike stoller,23,359,,1,1,0,0.6
jelly roll,82,4693355,"country rap,modern country pop,nashville hip hop,tennessee hip hop",4,3,1,0.17424242424242423
lewis capaldi,81,13041511,"pop,uk pop",10,5,3,0.2193181818181818
matt laug,0,19,,2,1,1,0.009090909090909094
leon bridges,75,1765904,"indie folk,modern blues,neo mellow,neo soul,soul",3,2,0,0.17708333333333334
tony hawk,9,187,,1,0,0,0.0
kim kardashian,20,97399,,7,2,3,-0.003030303030303026
peter frampton,56,1301877,"album rock,british blues,classic rock,country rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock,southern rock",8,3,2,0.09817708333333333
jim seals,0,7,,1,0,1,-0.050000000000000044
jail time,6,1074,,1,0,1,-0.1
jack antonoff,23,35939,,29,20,6,0.13733069612379956
tornillo,68,1542637,mexican hip hop,1,1,0,0.13636363636363635
michael bublé,88,6513878,"adult standards,canadian pop,jazz pop,lounge",4,2,1,0.038392857142857145
jam master jay,7,944,,1,0,1,-0.5
pete townshend,47,388233,"album rock,art rock,blues rock,classic rock,country rock,folk rock,mellow gold,singer-songwriter",5,2,1,0.016244588744588746
multiplex,17,725,,1,1,0,0.2
roxanne shante,21,106750,"alternative r&b,old school hip hop,queens hip hop",1,1,0,0.11212121212121214
paul stanley,37,146427,glam metal,2,1,1,-0.20681818181818185
continuum,4,2713,"technical brutal death metal,technical death metal",1,1,0,0.7340909090909091
diane warren,38,14892,,5,3,1,0.13669580419580418
dusty ray,0,58,,1,0,1,-0.17777777777777778
john lennon,76,6264831,"classic rock,rock",9,5,4,0.14985088985088985
monét,3,99,,2,2,0,0.5069444444444445
tracey ullman,34,31214,new wave pop,1,1,0,0.012121212121212116
ringo starr,51,982281,"classic rock,folk rock,rock drums",5,4,0,0.2475
jack clement,7,736,,1,0,0,0.0
redman,65,1268828,"east coast hip hop,hardcore hip hop,new jersey rap,wu fam",1,1,0,0.05952380952380953
giles martin,5,55,,1,1,0,0.04999999999999999
nick lee,21,200,,1,0,1,-0.07083333333333333
ricky martin,73,7702902,"latin pop,mexican pop,puerto rican pop",4,2,0,0.09659090909090909
queen kwong,18,5533,,1,0,1,-0.17500000000000002
jisoo,65,4642841,k-pop,6,4,1,0.19126082251082252
gayle,63,643988,"alt z,modern alternative pop",1,1,0,0.7045454545454545
soulja boy,70,2189693,"atl hip hop,chicago bop,dance pop,pop rap,rap,southern hip hop,trap",3,2,0,0.26666666666666666
hunter hayes,57,1243698,"contemporary country,country,country road,modern country rock",1,1,0,0.25
tracy chapman,72,1869362,"folk,lilith,singer-songwriter,women's music",4,4,0,0.5128787878787878
massamba diop,16,440,,1,0,1,-0.16666666666666666
paul simonon,51,3280,,1,1,0,0.38636363636363635
ben affleck,0,82,,5,4,0,0.12575757575757576
tammy wynette,55,624868,"country,country dawn,nashville sound",2,2,0,0.35714285714285715
lydia loveless,27,20974,"alternative country,alternative roots rock",1,1,0,0.6863636363636364
afroman,60,488628,comedy rap,2,1,0,0.06696428571428571
cristobal tapia de veer,49,51516,canadian soundtrack,1,0,0,0.0
van halen,73,6323435,"album rock,classic rock,hard rock,rock",5,4,1,0.5224242424242425
ma rainey,27,54051,"blues,harlem renaissance,traditional blues",1,1,0,0.053571428571428575
katie got bandz,34,10234,"chicago bop,chicago rap,drill,trap queen",1,1,0,0.3712121212121212
suga,64,5360663,k-pop,2,2,0,0.35211038961038965
wayne brady,32,11243,,1,0,0,0.0
brittany howard,51,291537,"black americana,modern blues rock,neo soul",7,5,0,0.34610389610389614
perrie,57,143386,,1,1,0,0.30833333333333335
mose allison,41,38370,"jazz blues,jazz piano",1,1,0,0.11666666666666665
stevie wonder,79,6704872,"motown,soul",16,13,2,0.33434794372294374
tanner adell,55,111011,modern country pop,1,0,1,-0.16666666666666666
larry lalonde,12,187,,1,0,1,-0.125
lisa marie presley,34,36665,,10,4,3,0.046186868686868686
warren ellis,45,42607,oceania soundtrack,2,0,2,-0.4333333333333333
kehlani,77,7994496,"pop,r&b,rap",2,2,0,0.49318181818181817
eating glass,0,21,,1,0,0,0.0
pepe aguilar,73,4593770,"banda,latin talent show,mariachi,musica mexicana,ranchera",2,1,0,0.25
travis barker,68,474242,rap rock,10,6,3,0.17457792207792205
pat benatar,64,1821969,"album rock,classic rock,glam metal,hard rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",3,2,1,0.07878787878787878
jepsen,0,80,,3,0,1,-0.0012626262626262569
alex van halen,18,155,,2,1,1,-0.07992424242424243
bill kreutzmann,29,1568,rock drums,4,2,2,0.11742424242424243
jeff rowe,2,489,acoustic punk,1,1,0,0.35
luke hemmings,54,531164,,4,2,2,0.10915854978354977
lavigne,1,1,,1,1,0,0.21331168831168829
akbar v,33,15362,trap queen,1,1,0,0.3712121212121212
julia sanina,30,3949,,1,0,0,0.0
dylan minnette,2,23390,,1,1,0,0.3
laura marling,59,517984,"british folk,british singer-songwriter,chamber pop,singer-songwriter",1,0,1,-0.029629629629629634
perform,10,237,,2,1,1,0.1472222222222222
luna,36,58542,,1,0,1,-0.06666666666666667
amer zahr,41,126,,1,0,0,0.0
isaiah rashad,70,1509660,"hip hop,rap,tennessee hip hop,underground hip hop",2,2,0,0.47916666666666663
colt ford,60,1142224,"contemporary country,country,country rap,country road,redneck",1,0,0,0.0
rachel zegler,59,136262,,2,1,1,-0.07424242424242425
courtney barnett,53,599923,"art pop,australian indie,chamber pop,indie pop,indie rock,melbourne indie,noise pop,seattle indie,singer-songwriter,slacker rock",5,2,0,0.12363636363636363
mick fleetwood,33,14575,"british blues,rock drums",3,1,1,0.0076388888888888895
ryan tedder,58,37594,pop rock,2,1,1,-0.10321067821067823
vampire weekend,67,1994418,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock",6,5,1,0.15894300144300144
donald j. trump,40,51763,,1,0,0,0.0
suno,5,102,,3,1,1,0.034280303030303015
rick ross,77,7430816,"dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap",7,5,1,0.3547619047619048
desmond child,18,3129,,2,2,0,0.3181818181818182
coolio,71,1360726,"g funk,gangster rap,hip hop,west coast rap",1,1,0,0.0909090909090909
carrie underwood,73,6022888,"classic oklahoma country,contemporary country,country,country dawn,dance pop,pop",6,3,2,0.17321127946127945
lindley,0,24,,1,1,0,0.09999999999999999
rexha,1,54,,2,2,0,0.09450757575757575
danny zuko,0,6,,1,0,0,0.0
maggie baird,6,5524,,1,0,1,-0.37777777777777777
onyeka onwenu,25,31030,"highlife,igbo pop",1,1,0,0.5
james kennedy,26,17378,,1,1,0,1.5681818181818181
de la soul,61,1054342,"east coast hip hop,golden age hip hop,hip hop,jazz rap",1,0,1,-0.04015151515151516
kari lake,10,704,,1,0,0,0.0
del toro,4,327,,1,1,0,0.08181818181818182
steve cropper,34,12055,memphis soul,1,1,0,0.43636363636363634
jesse watters,0,12,,1,0,0,0.0
cher,73,3521726,"dance pop,pop",27,12,6,0.22252237988349097
axl rose,26,38830,,7,7,0,0.3190166975881262
bathwater,0,8,,2,0,0,0.0
james brown,64,2215079,"funk,soul,vocal jazz",1,1,0,0.8
lucinda williams,52,259516,"alternative country,folk,heartland rock,outlaw country,roots rock,singer-songwriter",2,2,0,0.5653409090909091
judith durham,21,4067,,1,0,1,-0.1
jojo siwa,47,93204,,5,4,0,0.2599314574314574
weezer,76,3975143,"alternative rock,modern power pop,modern rock,permanent wave,rock",5,3,1,0.14227272727272727
martin short,37,2960,canadian comedy,4,2,1,0.24732142857142858
dan wall,6,144,,1,1,0,0.2727272727272727
john cale,48,208273,"art rock,melancholia,singer-songwriter",3,2,1,0.21035353535353538
allison ponthier,51,37684,modern indie folk,1,1,0,0.3181818181818182
tony levin,39,31215,"chapman stick,electric bass,instrumental rock,jazz fusion,progressive rock",1,0,0,0.0
spoon,58,662370,"alternative rock,austindie,indie rock,modern rock",2,1,0,0.025
manu chao,72,1845557,"latin alternative,world",1,0,1,-0.4696969696969696
sonny rollins,51,356224,"bebop,contemporary post-bop,jazz,jazz saxophone",1,0,1,-2.7755575615628914e-17
johnny cash,76,6514757,"arkansas country,outlaw country,rock",1,1,0,0.15625
steve winwood,59,1071457,"album rock,classic rock,folk rock,mellow gold,singer-songwriter,soft rock",1,1,0,0.6363636363636364
swizz beatz,64,440832,"battle rap,dirty south rap,southern hip hop,trap",6,3,1,0.10131313131313131
laughter,2,232,,1,1,0,0.6575757575757576
ethan hawke,28,4490,,1,0,1,-0.09999999999999999
torben ulrich,0,120,,1,1,0,1.05
elizabeth chan,23,1119,,1,1,0,0.25
jason kelce,46,6721,,4,4,0,0.26653138528138526
elliot page,40,4824,,1,1,0,0.3666666666666667
rammstein,80,10605545,"german metal,industrial,industrial metal,industrial rock,neue deutsche harte",3,2,1,0.14102564102564102
neal schon,34,25996,"instrumental rock,metal guitar",2,1,1,-0.024999999999999988
orville peck,59,437738,"alternative country,queer country",11,7,3,0.21433884297520658
claire cottrill,8,2004,,2,2,0,0.4431818181818181
ángela aguilar,74,1060174,"mariachi,musica mexicana,ranchera",2,2,0,0.4340909090909091
lydon,0,10,,1,1,0,0.06818181818181818
hatebreed,58,662896,"alternative metal,connecticut hardcore,hardcore,industrial metal,melodic metalcore,metalcore,nu metal",1,0,1,-0.07692307692307693
don toliver,88,5534474,rap,4,2,1,-0.02083333333333333
laurie anderson,46,164140,"art pop,art rock,experimental,experimental pop,experimental vocal,laboratorio",6,5,0,0.2766955266955267
out loud,1,23,,2,2,0,0.375
s.g. goodman,39,35557,kentucky roots,2,1,0,0.22159090909090912
beck,67,1613733,"alternative rock,anti-folk,permanent wave,rock,slacker rock",3,2,1,0.12753006253006255
tim robbins,2,319,,1,0,1,-0.3
lou gramm,42,128662,"album rock,mellow gold,soft rock",3,3,0,0.25625000000000003
bruce johnston,21,3638,,1,1,0,0.5636363636363636
burton cummings,38,83539,"canadian singer-songwriter,classic canadian rock",1,0,1,-0.2333333333333333
ashley walters,5,2416,,2,1,1,-0.4166666666666667
inara george,30,17608,"deep acoustic pop,folk-pop",1,1,0,0.5
bronco,75,3950329,"grupera,gruperas inmortales,musica mexicana,norteno,ranchera",1,1,0,0.6931818181818181
stephen sanchez,76,1636204,gen z singer-songwriter,2,0,1,-0.001623376623376624
happening,8,783,,1,1,0,0.06818181818181818
hooky,25,5709,lo-fi indie,1,0,1,-0.07500000000000001
cesar gueikian,27,70,,2,0,2,-0.10467171717171718
ann wilson,46,30290,,2,2,0,0.6013888888888889
charlie sexton,28,10626,austin singer-songwriter,1,0,0,0.0
matt skiba,33,30266,"acoustic punk,chicago punk",2,2,0,0.18428030303030302
rina sawayama,59,1036750,"art pop,electropop,escape room,indie pop",7,3,0,0.16551948051948054
spice girls,70,3880045,"dance pop,girl group,pop",1,1,0,0.7
covenant,39,100012,"aggrotech,cyberpunk,dark wave,ebm,electro-industrial,futurepop,industrial metal,swedish synth",1,0,0,0.0
charley crockett,61,348280,"new americana,southern americana",1,1,0,0.1
cornelius smith,0,0,,1,1,0,0.1
brian fallon,44,99483,"heartland rock,new jersey indie",2,2,0,0.2970454545454546
randy newman,61,240008,"movie tunes,singer-songwriter",1,1,0,0.3666666666666667
buffalo nichols,26,17506,black americana,1,1,0,0.04545454545454544
raye,80,1838210,"uk contemporary r&b,uk pop",2,2,0,0.5047619047619047
erykah badu,69,3024725,"afrofuturism,alternative r&b,neo soul,r&b",3,2,0,0.3333333333333333
josh klinghoffer,22,122,,2,1,1,-0.00208333333333334
neil diamond,69,2964173,"adult standards,brill building pop,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",1,0,1,-0.06666666666666667
sudden demise,1,244,,1,1,0,0.3774891774891775
jimmy fallon,57,74954,,16,8,4,0.1784741387085137
creed b good,4,396,,1,1,0,0.6285714285714286
assault,5,2016,cleveland metal,6,3,2,0.03495370370370371
raphael saadiq,52,558816,"funk,neo soul,soul",1,0,1,-0.2857142857142857
anna kane,0,0,,1,1,0,0.5
mudhoney,44,303109,"alternative rock,grunge,punk",1,1,0,0.06818181818181818
mandy lee,25,741,,2,0,2,-0.2993589743589744
rod stewart,75,5047227,"mellow gold,soft rock",4,3,0,0.09851190476190476
jimmy kimmel,23,1225,,4,3,1,0.20148809523809524
stephin merritt,23,9654,lo-fi,2,2,0,0.44583333333333336
toby keith,72,2651088,"classic oklahoma country,contemporary country,country,country road",1,1,0,0.24027777777777778
paul simon,69,2402262,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,singer-songwriter,soft rock",9,7,1,0.22844516594516595
devra hoff,0,33,,1,1,0,0.03333333333333333
coi leray,72,850777,"new jersey underground rap,trap queen",2,1,0,0.21875
herbie flowers,14,903,library music,1,0,1,-0.05
kotb,1,23,,1,0,0,0.0
michelle obama,22,21190,,2,2,0,0.4625
luke combs,87,11844802,"contemporary country,country",4,4,0,0.5605113636363637
john williams,78,1481272,"orchestral soundtrack,soundtrack",3,2,0,0.6666666666666666
nessa barrett,74,1421121,"alt z,social media pop",1,1,0,0.35
jonah hill,9,73,,1,0,1,-0.055555555555555546
weimar,51,30429,"deutschrock,german oi",1,0,1,-0.11458333333333334
moneybagg yo,77,4771794,"memphis hip hop,rap,southern hip hop,tennessee hip hop,trap",3,3,0,0.16015512265512266
jay wheeler,80,4481000,"reggaeton,trap latino,urbano latino",1,1,0,0.1875
rm,76,17209447,k-rap,2,1,1,0.06818181818181819
james madison,21,29,,1,1,0,0.125
graham,66,254480,singer-songwriter pop,2,2,0,0.21623376623376625
robinson,44,109663,"alt z,nz pop",2,1,1,0.005555555555555564
noa kirel,55,524376,israeli pop,1,0,1,-0.04047619047619047
nick carter,41,262493,idol,10,5,4,0.04994107744107744
kate bush,72,2231094,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",7,4,3,0.1135162853019996
vince staples,69,1959387,"conscious hip hop,hip hop,rap,underground hip hop",1,1,0,0.5
rostam,47,82630,art pop,1,1,0,0.032467532467532464
howard stern,25,5816,,1,1,0,0.7181818181818183
lucy simon,8,200,,1,1,0,0.35000000000000003
john mayall,43,262662,"blues,blues rock,british blues,electric blues,harmonica blues,traditional blues",3,3,0,0.22222222222222224
marc platt,21,63,,1,0,0,0.0
saxe,11,280,,1,0,1,-0.07142857142857142
roger,66,190558,"funk,new jack swing,p funk,post-disco,quiet storm",1,1,0,1.0
brantley gilbert,67,3008762,"contemporary country,country,country road,modern country rock",1,1,0,0.2727272727272727
jack harlow,82,3996384,"deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap",23,18,1,0.25358671004633737
nick jonas,67,10042370,"dance pop,pop",7,3,1,0.183704390847248
pedrito martinez,37,27102,"afro-cuban percussion,jazz cubano",1,1,0,0.032467532467532464
skepta,75,1392650,"birmingham grime,grime,instrumental grime,uk hip hop",2,2,0,0.46818181818181814
angelo badalamenti,49,125643,"dark jazz,soundtrack",1,0,1,-0.2
jeffery jordan,0,321,country pop,1,0,1,-0.1345959595959596
libby titus,7,868,,1,1,0,0.5181818181818182
boris johnson,11,11,,1,0,1,-0.2333333333333333
madison,12,3049,,2,0,0,0.0
gucci mane,78,5731257,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap",6,4,2,0.14772727272727273
scott borchetta,0,0,,2,1,0,0.041666666666666664
jamie lidell,42,82776,"funk,funktronica,pop soul",1,1,0,0.22564935064935066
lucius,54,184774,"indie folk,indie pop,new americana,shimmer pop,stomp and holler",3,1,1,-0.07503607503607505
rupaul,57,746179,"diva house,strut",1,1,0,0.4515151515151515
ty sunderland,35,1270,,1,1,0,0.6
chlöe,61,582283,contemporary r&b,4,2,2,0.03349567099567099
dreamville,66,722356,"hip hop,pop rap,rap",1,0,1,-0.1
phil lesh,14,7180,,8,4,4,0.13114583333333332
kris kristofferson,65,642321,"country,country rock,outlaw country,singer-songwriter",2,1,1,0.10357142857142859
frank ocean,89,16720427,"lgbtq+ hip hop,neo soul",4,2,1,-0.08154761904761901
good charlotte,68,2659738,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",1,1,0,0.4733333333333333
mammoth wvh,47,145714,modern hard rock,1,1,0,0.9666666666666667
rita ora,73,8410803,"dance pop,pop,uk pop",1,1,0,0.13636363636363635
steve howe,33,73422,"progressive rock,symphonic rock",1,0,0,0.0
nick offerman,32,1970,,1,1,0,0.10000000000000002
jeremy allen,9,19,,1,1,0,0.1
